cycle,beliefs,sec_clusters,active_goals,aggregate_pe
1,18,46,0,0.25
2,21,55,0,0.2667
3,29,77,0,0.3491
4,30,80,1,0.3752
5,37,94,3,0.4654
6,46,121,3,0.1
7,46,121,3,0.0
8,46,121,3,0.0
9,46,121,3,0.0
10,46,121,3,0.0
11,46,121,3,0.0
12,45,121,3,0.0
13,45,121,3,0.0
14,45,121,3,0.0
15,44,121,3,0.0
16,44,121,2,0.0
17,43,121,2,0.0
18,42,121,1,0.0
19,42,121,0,0.0
20,42,121,0,0.0
21,42,121,0,0.0
22,42,121,0,0.0
23,42,121,0,0.0
24,42,121,0,0.0
25,44,126,0,0.1562
26,46,131,0,0.1824
27,44,132,1,0.1907
28,41,132,1,0.2156
29,37,132,1,0.2312
30,35,133,1,0.2527
31,32,138,1,0.2721
32,30,141,1,0.2879
33,26,141,1,0.3028
34,30,147,1,0.6058
35,39,171,1,0.1107
